,MDS-UPDRS Prediction target,Feature,Type,Best performing model,Best performing parcellation,R2,RMSE,AUC,PPV,NPV,Spec.,Sens.
0,Baseline,fALFF,Workflow H,SVM,Schaefer,-0.835,21.7,0.48,0.0%,58.8%,95.9%,0.0%
0,Baseline,fALFF,Workflow H,Random Forest,BASC197,0.105,15.16,0.575,52.0%,64.9%,75.5%,39.4%
0,Baseline,fALFF,Workflow H,Random Forest,BASC444,0.038,15.71,0.579,51.9%,65.5%,73.5%,42.4%
0,Baseline,fALFF,Workflow H,Random Forest,Schaefer,-0.022,16.2,0.513,41.9%,60.8%,63.3%,39.4%
0,Baseline,fALFF,Workflow I,ElasticNet,BASC197,-0.057,16.47,0.534,45.8%,62.1%,73.5%,33.3%
0,Baseline,fALFF,Workflow I,ElasticNet,BASC444,-0.065,16.53,0.539,45.2%,62.7%,65.3%,42.4%
0,Baseline,fALFF,Workflow I,ElasticNet,Schaefer,-0.009,16.09,0.438,30.8%,55.4%,63.3%,24.2%
0,Baseline,fALFF,Workflow I,Gradient Boosting,BASC197,0.168,14.61,0.584,51.7%,66.0%,71.4%,45.5%
0,Baseline,fALFF,Workflow I,Gradient Boosting,BASC444,-0.055,16.45,0.564,47.2%,65.2%,61.2%,51.5%
0,Baseline,fALFF,Workflow I,Gradient Boosting,Schaefer,-0.012,16.12,0.579,51.9%,65.5%,73.5%,42.4%
0,Baseline,fALFF,Workflow I,SVM,BASC197,-0.632,20.47,0.448,26.7%,56.7%,77.6%,12.1%
0,Baseline,fALFF,Workflow I,SVM,BASC444,-0.354,18.64,0.452,34.4%,56.0%,57.1%,33.3%
0,Baseline,fALFF,Workflow I,SVM,Schaefer,-0.808,21.54,0.48,0.0%,58.8%,95.9%,0.0%
0,Baseline,fALFF,Workflow I,Random Forest,BASC197,0.106,15.15,0.544,47.8%,62.7%,75.5%,33.3%
0,Baseline,fALFF,Workflow I,Random Forest,BASC444,0.038,15.71,0.579,51.9%,65.5%,73.5%,42.4%
0,Baseline,fALFF,Workflow I,Random Forest,Schaefer,-0.026,16.23,0.513,41.9%,60.8%,63.3%,39.4%
0,Baseline,fALFF,Workflow J,ElasticNet,/,0.063,15.51,0.549,46.7%,63.5%,67.3%,42.4%
0,Baseline,fALFF,Workflow J,Gradient Boosting,/,0.041,15.69,0.594,51.5%,67.3%,67.3%,51.5%
0,Baseline,fALFF,Workflow J,SVM,/,-0.377,18.8,0.479,35.3%,58.5%,77.6%,18.2%
0,Baseline,fALFF,Workflow J,Random Forest,/,0.014,15.91,0.594,50.0%,68.2%,61.2%,57.6%
0,Baseline,fALFF,Workflow K,ElasticNet,BASC197,-0.073,16.6,0.468,33.3%,57.8%,75.5%,18.2%
0,Baseline,fALFF,Workflow K,ElasticNet,BASC444,-0.034,16.29,0.565,52.4%,63.9%,79.6%,33.3%
0,Baseline,fALFF,Workflow K,ElasticNet,Schaefer,-0.128,17.02,0.372,6.7%,52.2%,71.4%,3.0%
0,Baseline,fALFF,Workflow K,Gradient Boosting,BASC197,0.102,15.18,0.595,53.6%,66.7%,73.5%,45.5%
